tic_id,stamp_class,stamp_label,periode,snr,note
88507544,candidat,Candidat TESS officiel (TOI-7703.01),2.1515,53.6,"Déjà répertoriée comme candidat par le pipeline officiel de TESS (statut PC, pas encore confirmée ni par TESS ni par personne). Correspondance quasi parfaite : période officielle 2.1523127j contre 2.1515j ici, rayon officiel 12.16 R_terre contre 12.1 calculé. Le candidat le plus net du projet, toujours en attente de confirmation -- par TESS comme par ce pipeline."
93334206,marginal,Non classée,3.1928,52.5,"SNR élevé (52.5) et forme propre, mais absente de la table TOI officielle -- ni confirmée, ni rejetée, ni même encore examinée par le pipeline TESS. Partage un profil de périodogramme très similaire aux 3 autres candidats de ce lot (tous confirmés ou déjà classés), ce qui la rend intéressante -- mais sans suivi spectroscopique indépendant, elle reste au-delà de ce qu'on peut trancher ici."
47911178,confirm,Planète connue (TOI-471.01),,14.8,"Secteur 108. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
166833457,confirm,Planète connue (TOI-404.01),,37.0,"Secteur 108. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
286923464,confirm,Planète connue (TOI-1271.01),,26.4,"Secteur 16;22. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
39903405,confirm,Planète connue (TOI-2020.01),,18.2,"Secteur 24. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
46627823,marginal,Non classée,6.0049,29.7,"Signal net et isolé (période corrigée : le pipeline batch avait détecté un alias à 4x la vraie période, 24.02j au lieu de 6.0049j). Rayon implicite 1.59 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée. Comme TIC 93334206, reste au-delà de ce qu'un pipeline photométrique seul peut trancher sans suivi spectroscopique."
117739806,reject,Binaire,5.6195,11.3,"Deux pics quasiment aussi hauts dans le périodogramme (2.81j et 5.62j, rapport 2:1) -- signature classique d'une binaire à éclipses dont primaire et secondaire ont des profondeurs proches. Creux asymétrique dans le cycle complet, cohérent avec cette interprétation."
49701947,reject,Binaire,11.557,10.2,"Deux excursions distinctes dans le zoom (phase -0.06 et +0.05), pas un seul creux isolé -- signature de binaire à éclipses primaire+secondaire proches en phase plutôt qu'un transit unique."
172742334,reject,Binaire,7.5641,31.3,Deux excursions rapprochées en phase dans le zoom plutôt qu'un creux isolé -- même défaut que plusieurs binaires déjà identifiées dans ce projet.
290476605,reject,Binaire,17.2327,12.1,"Même motif de double excursion rapprochée en phase que TIC 172742334. SNR faible (12.1), cohérent avec un signal peu fiable."
29847695,reject,Structure ambiguë,22.2655,10.0,"Plusieurs excursions proches et mal définies dans le zoom, SNR au ras du seuil (10.0) -- pas un creux isolé net."
386563653,marginal,Non tranché,12.7194,15.0,"Creux unique et isolé dans le cycle complet, le plus propre des 4 de ce lot. Mais périodogramme atypique (transition brutale vers une forêt de pics après 12.7j) qui n'inspire pas une confiance totale. Ni écarté ni retenu."
97735908,confirm,Planète connue (TOI-4612.01),,40.2,"Secteur 44. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
191463077,reject,Doublon/Chaotique,2.3593,88.1,"Période et SNR identiques à TIC 601366244 -- très probablement la même étoile sous deux identifiants TIC différents. Motif en boucles multiples superposées dans le zoom, pas un creux net : exclut un transit propre de toute façon."
601366244,reject,Doublon/Chaotique,2.3593,88.1,"Voir TIC 191463077 -- période et SNR identiques, quasi certainement le même objet sous un second identifiant."
38937499,reject,Aliasing,8.1111,100.2,"4 creux régulièrement espacés dans un seul cycle replié -- la vraie période est le quart de celle testée (8.11j / 4 ≈ 2.03j), signature classique d'aliasing plutôt qu'un vrai transit à cette période."
385231167,reject,Binaire (ellipsoïdale),2.368,29.6,"Puissance du périodogramme à 1.75 million, un ordre de grandeur au-dessus du reste -- et une descente large et continue en V sur le cycle complet plutôt qu'un creux ponctuel. Signature de variation ellipsoïdale d'une binaire serrée."
142677613,reject,Forme non-transit,6.1822,15.8,"Pic qui remonte au-dessus de la baseline juste après le creux, à phase 0 -- pas la forme d'un transit propre, plutôt un signal composite ou un artefact."
49003142,reject,Creux multiples,10.011,11.4,"Plusieurs creux distincts qui se chevauchent dans le zoom, pas un signal isolé et net."
22538139,reject,Forme incohérente,4.6333,10.7,"Creux net suivi d'un pic qui remonte au-dessus de la baseline juste à côté, avant de redescendre encore -- même défaut structurel qu'un précédent candidat déjà écarté pour cette raison (TIC 33742428)."
55111498,reject,Doublon,12.6737,10.1,Période identique à 4 décimales près à TIC 118818053 -- quasi certainement la même étoile sous deux identifiants TIC différents.
118818053,reject,Doublon,12.6737,11.1,"Voir TIC 55111498 -- période identique, même objet probable."
444833007,reject,Forme non-transit,5.0133,28.3,"Signal profond (4%) mais courbes lisses en boucle visibles aux bords du cycle replié (phase ±0.45-0.5), pas du bruit ponctuel -- même défaut structurel que TIC 33742428 et TIC 22538139, déjà écartés pour cette raison."
166773165,marginal,Non tranché,10.0632,44.5,"SNR élevé mais motif régulier de plusieurs coupures dans le cycle complet, difficile à distinguer d'un artefact d'assemblage de secteurs sans zoom détaillé."
259706014,marginal,Non tranché,12.5925,11.0,"Signal faible et bruité, creux à peine visible au-dessus du bruit de fond -- ni écarté ni retenu."
238235254,reject,Variable/binaire à contact,0.745,25.7,"Puissance du périodogramme extrême (280000), un ordre de grandeur au-dessus du reste du projet. Aucun creux localisé dans le cycle complet -- variation étalée sur presque toute la phase, durée couvrant la quasi-totalité du cycle. Signature de pulsateur à courte période ou binaire à contact."
268839084,reject,Binaire,3.8152,30.7,Deux excursions rapprochées en phase dans le zoom plutôt qu'un creux isolé -- même défaut structurel que plusieurs binaires déjà identifiées dans ce projet.
459190726,reject,Période instable,4.1092,16.7,"Quatrième période différente trouvée pour cette étoile en deux analyses distinctes (8.22j, 12.32j, 12.45j dans le batch, 4.11j à l'examen visuel). Un vrai signal transitant garde une période stable -- cette instabilité signale une variabilité stellaire continue plutôt qu'un transit ponctuel."
219238496,reject,Structure multi-creux,3.2527,47.9,"Corrigé pour l'aliasing détecté au premier passage (la période initiale de 13.011j était 4x la vraie période). Mais même à la bonne période, le zoom montre au moins 3-4 creux distincts dans un seul cycle plutôt qu'un transit isolé, plus un pic étroit à phase 0 qui ressemble à un artefact instrumental. Cohérent avec une variable à pulsations multiples."
352250813,marginal,Non classée,0.9496,12.1,"Creux net et isolé, taille implicite plausible (1.25 R_jup, hors de la zone ambiguë contrairement à TIC 93334206 et TIC 46627823). Absente de la table TOI et d'aucune publication trouvée. Reste au-delà de ce qu'un pipeline photométrique seul peut trancher sans suivi spectroscopique."
442530946,confirm,Planète connue (TOI-7476.01),3.7138,10.7,"Secteur 92. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
68952448,confirm,Planète connue (TOI-7484.01),4.6159,14.5,"Secteur 92. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
188570092,confirm,Planète confirmée (TOI-294.01),,28.4,"Secteur 92. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
339570153,reject,Variable/binaire à contact,3.1743,32.9,"Amplitude énorme (jusqu'à 2%, flux normalisé montant à 1.02) avec des boucles chaotiques autour du creux plutôt qu'un transit net -- signature de pulsateur ou de binaire à contact."
51631133,reject,Structure multi-creux,5.055,22.4,"Au moins 3 creux distincts à des phases différentes dans un seul cycle (vers -0.15, +0.05, +0.15), plus une bosse suspecte vers +0.25-0.3 -- même défaut que TIC 219238496, pas un transit isolé."
61644291,marginal,Non classée,8.8406,39.7,"Creux net et isolé, bon SNR. Rayon implicite 1.87 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
441014686,marginal,Non classée,1.6688,11.8,"Creux net et isolé. Rayon implicite 0.69 R_jup -- taille sans ambiguïté cette fois (nettement sous-jovien), contrairement aux précédents. Absente de la table TOI et d'aucune publication trouvée -- reste malgré tout au-delà de ce qu'un pipeline photométrique seul peut confirmer."
419729543,marginal,Non classée,6.5938,17.4,"Creux net et isolé. Rayon stellaire absent du catalogue TIC (NaN) -- impossible de calculer la taille implicite par cette méthode, ni confirmable ni excluable sur ce critère. Absente de la table TOI et d'aucune publication trouvée."
396907792,marginal,Non tranché,7.2584,10.3,"Signal faible et bruité, creux à peine visible au-dessus du bruit de fond, SNR tout juste au-dessus du seuil -- ni écarté ni retenu."
267263253,confirm,Planète confirmée (TOI-135.01),,37.1,"Secteur 1;67. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
151681127,marginal,Candidat ambigu (TESS) (TOI-671.01),10.1966,17.2,"Secteur 63;99;100. Statut officiel TOI : APC. Classé automatiquement, à vérifier visuellement avant publication sur le site."
350743714,reject,Faux positif (TESS) (TOI-165.01),7.7573,269.7,"Secteur 4;63;67;98. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
6893917,confirm,Planète connue (TOI-5074.01),,13.6,"Secteur 44;72. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
172518755,confirm,Planète confirmée (TOI-1789.01),,118.6,"Secteur 44. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
186812530,confirm,Planète confirmée (TOI-503.01),,74.3,"Secteur 44;72. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
68577662,confirm,Planète connue (TOI-4606.01),11.1683,29.8,"Secteur 44. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
83092282,confirm,Planète confirmée (TOI-622.01),,166.4,"Secteur 8;9;62;88;89. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
278866211,reject,Faux positif (TESS) (TOI-189.01),,419.6,"Secteur 67;69;98. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
230982885,confirm,Planète connue (TOI-195.01),,20.5,"Secteur 69. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
56399553,confirm,Planète connue (TOI-4623.01),,14.1,"Secteur 70. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
229285649,reject,Faux positif (TESS) (TOI-2591.01),,18.3,"Secteur 72. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
289539327,reject,Faux positif (TESS) (TOI-1186.01),11.2466,176.6,"Secteur 79. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
258777137,reject,Faux positif (TESS) (TOI-1183.01),,118.9,"Secteur 79. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
1718201850,marginal,Candidat ambigu (TESS) (TOI-1351.01),,80.6,"Secteur 79. Statut officiel TOI : APC. Classé automatiquement, à vérifier visuellement avant publication sur le site."
428787891,confirm,Planète confirmée (TOI-2154.01),3.8241,214.8,"Secteur 79. Statut officiel TOI : CP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
298495970,reject,Faux positif (TESS) (TOI-2157.01),8.4244,14.4,"Secteur 79. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
470127886,candidat,Candidat TESS officiel (TOI-2031.01),,157.7,"Secteur 79. Statut officiel TOI : PC. Classé automatiquement, à vérifier visuellement avant publication sur le site."
449050248,reject,Faux positif (TESS) (TOI-953.01),2.9684,30.8,"Secteur 98. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
417734853,reject,Binaire (éclipse secondaire),11.4468,65.7,"Vu dans 8 secteurs indépendants. Deux creux distincts visibles dans le cycle complet -- le principal à phase 0 et une éclipse secondaire décalée vers phase +0.4, signature classique de binaire excentrique."
160618494,reject,Binaire (ellipsoïdale/rasante),4.2611,118.5,"Vu dans 9 secteurs indépendants. Forme large et arrondie, asymétrique, sans bords nets -- typique d'une éclipse rasante ou d'une variation ellipsoïdale de binaire serrée plutôt qu'un transit franc."
309658221,reject,Binaire pulsante (confirmée),3.798,241.9,"Binaire à éclipses pulsante publiée et confirmée (Lee et al. 2019, ApJ, 'The Pulsating Eclipsing Binary TIC 309658221 in a 7.59 Day Orbit') -- étoile de type delta Scuti. Période officielle 7.5952j, exactement le double de la période détectée ici (3.798j) : notre pipeline a trouvé l'harmonique à moitié période, biais classique sur les binaires à profondeurs primaire/secondaire proches."
167554898,marginal,Non classée,4.4547,293.0,"Vue dans 5 secteurs indépendants, SNR le plus élevé du projet (293). Rayon implicite 1.56 R_jup -- zone ambiguë. Absente de la table TOI et d'aucune publication trouvée."
734505586,marginal,Non classée,7.7576,246.8,"Vue dans 3 secteurs indépendants. Rayon implicite 1.14 R_jup -- taille sans ambiguïté, comparable aux meilleurs candidats du projet. Absente de la table TOI et d'aucune publication trouvée."
230070983,reject,Binaire (éclipse secondaire),7.3512,122.6,"Second creux visible vers phase +0.4-0.45 en plus du principal à phase 0 -- éclipse secondaire décalée, signature de binaire."
116417661,reject,Binaire (ellipsoïdale),1.1381,46.2,"Forme large et graduelle en V sans bords nets, couvrant près de 40% du cycle sur une période très courte (1.14j) -- variation ellipsoïdale typique d'une binaire très serrée."
307844756,reject,Structure double-creux,2.5068,37.8,Deux creux distincts et proches en phase (vers -0.04 et +0.04) plutôt qu'une éclipse isolée -- baseline exceptionnellement plate qui masquait cette structure sur la vignette rapide. Périodogramme aussi atypique (plateaux successifs plutôt que pics nets).
229608810,reject,Trop gros pour une planète,3.5432,107.2,"Rayon implicite 2.16 R_jup -- dépasse le seuil de plausibilité planétaire, probablement une naine rouge ou brune en transit."
229452949,marginal,Non classée,6.1429,124.2,Creux net et isolé. Rayon implicite 1.86 R_jup -- zone ambiguë. Absente de la table TOI et d'aucune publication trouvée.
420114772,marginal,Non classée,3.2345,250.8,"Creux net et isolé, SNR élevé (250.8). Rayon implicite 1.73 R_jup -- zone ambiguë. Absente de la table TOI et d'aucune publication trouvée."
382517745,marginal,Non classée,10.4406,,"Creux net et isolé, transit arrondi sans éclipse secondaire visible. Rayon implicite 1.05 R_jup -- taille sans ambiguïté, dans la gamme des planètes confirmées. Absente de la table TOI et d'aucune publication trouvée."
57915771,marginal,Non classée,4.1166,,"Creux isolé, périodogramme très propre (meilleur S/N visuel du lot). Rayon implicite 1.37 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
317839169,marginal,Non classée,9.338,,"Creux isolé, pic dominant très net dans le périodogramme. Rayon implicite 1.80 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
456425391,marginal,Non classée,8.8455,,"Creux net et isolé, harmoniques cohérentes dans le périodogramme. Rayon implicite 1.80 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
448860246,reject,Trop gros pour une planète,5.4005,,"Transit le plus net du lot visuellement (box net, périodogramme très propre, pas d'éclipse secondaire visible). Mais l'étoile hôte est une A chaude (9839 K, 2.82 R☉) : ça implique un compagnon de 2.61 rayons joviens. Trop gros pour une planète -- probablement une naine rouge ou brune en transit."
198555959,reject,Structure double-creux,2.0959,,"Recherche affinée (1.8-2.4j) révèle un pic isolé et écrasant à 2.0959j (~16.7672/8, confirme l'alias du scan large) -- mais le repliement à la vraie période montre toujours deux creux distincts et rapprochés en phase par cycle, pas un transit isolé. L'hypothèse initiale de variabilité continue est écartée par la netteté de ce nouveau pic."
115980439,reject,Structure double-creux,6.9231,,"Recherche affinée (4-8j) révèle un pic net à 6.9231j (~13.8465/2), plus élevé que le pic du scan large initial -- mais le repliement montre deux creux profonds (~2.2%) et rapprochés en phase par cycle, pas un transit isolé. L'hypothèse initiale d'artefact TESS à 13.7j est écartée : la netteté et la profondeur des deux creux ne correspondent pas à une simple coupure de données."
232643392,marginal,Non tranché,9.8697,,"Périodogramme avec pic net et harmonique 2:1 cohérente, mais le transit replié reste trop bruité pour distinguer un creux isolé net d'une simple fluctuation, même après nouvelle recherche sur la plage complète. Ni écarté ni retenu."
434294623,reject,Structure double-creux,5.6504,26.1,"Deux creux distincts et rapprochés en phase par cycle plutôt qu'un transit isolé, visibles dans le cycle complet et le zoom -- même motif que TIC 49701947 et TIC 307844756. Ratio durée/période (3.5%) et puissance/bruit (26.1) ne sont pourtant pas suspects pris isolément : c'est la structure du repliement qui trahit la binaire, pas les métriques globales."
61113635,reject,Binaire (ellipsoïdale),3.3472,22.7,"Creux large et graduel sans bords nets, couvrant une bonne partie du cycle -- variation ellipsoïdale typique d'une binaire serrée déformée par la marée, même motif que TIC 385231167 et TIC 116417661. Ratio durée/période (3.0%) et puissance/bruit (22.7) restent dans la norme malgré la forme problématique."
229070209,marginal,Non tranché,39.0677,,"Puissance BLS encore montante au bord de la plage testée même étendue à 40j -- signal probablement au-delà, ou artefact de fonction de fenêtre. Seulement 2 secteurs disponibles espacés de ~4 ans (couverture de phase très partielle, larges trous dans le cycle replié). Creux individuel visible et net (~0.4%) mais période non fiable avec cette couverture temporelle. Ni écarté ni retenu."
458377744,marginal,Non classée,7.4562,34.3,"Transit le plus net et le meilleur signal du lot (puissance/bruit 34.3, harmoniques cohérentes à 7.46/14.9/22.4j). Rayon implicite 1.18 R_jup -- taille sans ambiguïté, dans la gamme des planètes confirmées. Absente de la table TOI et d'aucune publication trouvée."
430144041,marginal,Non classée,1.9922,12.8,"Creux net et isolé, bonne harmonique 2:1 dans le périodogramme. Rayon implicite 1.27 R_jup -- taille sans ambiguïté. Absente de la table TOI et d'aucune publication trouvée."
137501278,marginal,Non classée,4.2709,14.2,"Creux net mais peu profond, bien défini malgré 10 secteurs de données. Rayon implicite 0.91 R_jup -- taille sans ambiguïté, sous-jovien. Absente de la table TOI et d'aucune publication trouvée."
175233315,marginal,Non classée,1.8109,10.1,"Creux net et assez profond, mais périodogramme chargé de nombreux pics secondaires comparables. Rayon implicite 0.73 R_jup -- taille sans ambiguïté cette fois, nettement sous-jovien. Absente de la table TOI et d'aucune publication trouvée."
404736807,marginal,Non classée,12.6704,9.0,"Creux peu profond mais cohérent, données un peu éparses. Rayon implicite 0.41 R_jup -- taille sans ambiguïté, nettement sous-jovien. Absente de la table TOI et d'aucune publication trouvée."
77961022,marginal,Non classée,9.0489,11.3,"V propre et symétrique, périodogramme net. Rayon implicite 1.73 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
456609929,marginal,Non classée,4.5527,7.7,Transit propre malgré un périodogramme très bruité en arrière-plan. Rayon implicite 1.72 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée.
320913313,marginal,Non classée,2.7273,9.2,"Période corrigée par la recherche fine (5.4687j de la grille rapide était en fait le double de la vraie période). Rayon implicite 1.89 R_jup -- zone ambiguë, proche du seuil de plausibilité. Absente de la table TOI et d'aucune publication trouvée."
334886280,marginal,Non classée,12.0015,11.0,"Creux net des deux côtés de la fenêtre de zoom (effet normal d'enroulement de phase, période proche de la largeur de fenêtre). Rayon implicite 1.98 R_jup -- juste sous le seuil de plausibilité planétaire, à la limite haute. Absente de la table TOI et d'aucune publication trouvée."
414920805,reject,Trop gros pour une planète,2.3107,8.9,"Dip net et bien isolé, mais rayon implicite 2.03 R_jup -- dépasse le seuil de plausibilité planétaire, probablement une naine rouge ou brune en transit."
178247340,reject,Forme non-transit,3.6976,10.8,"Creux principal net à phase 0, mais remontée nette du flux au-dessus de la baseline vers phase +0.3 (jusqu'à ~1.007-1.008) -- même défaut structurel que TIC 142677613 déjà écarté pour cette raison. Pas un transit isolé propre."
425549135,reject,Binaire (éclipse secondaire),5.0207,13.0,"Creux principal net à phase 0, mais excursion secondaire distincte vers phase 0.43-0.47 -- exactement la zone où le script invite à chercher une 2e éclipse. Même motif que TIC 417734853 et TIC 230070983, signature de binaire à éclipses."
55655482,marginal,Non tranché,7.9193,12.0,"Périodogramme à peine au-dessus du bruit (puissance max ~120, largement en dessous du reste du lot), dip à peine distinguable dans le repliement. Signal trop faible et bruité pour conclure."
346597868,marginal,Non tranché,12.6753,6.8,"Données de transit très éparses (durée détectée 0.05j), dip peu convaincant, périodogramme dominé par du bruit au-delà de 12.7j. Signal trop faible pour conclure."
279786731,reject,Trop gros pour une planète,3.7221,16.5,"Transit profond et symétrique en apparence, mais légère sous-structure en double creux au fond du transit -- possible binaire rasante plutôt qu'une simple tache stellaire traversée. Rayon implicite 2.29 R_jup confirme : dépasse le seuil de plausibilité planétaire, probablement une naine rouge ou brune en transit."
58719708,marginal,Non tranché,6.633,5.2,"Périodogramme à peine au-dessus du bruit, aucun creux distinguable dans le repliement. Un seul secteur de données (couverture de phase très partielle, grands trous). Signal trop faible pour conclure."
395182898,marginal,Non tranché,11.7515,10.2,"Signal faible dans le périodogramme, couverture de phase clairsemée malgré 3 secteurs (grand vide au centre du zoom), dip à peine visible. Signal trop faible pour conclure."
16703161,marginal,Non classée,6.0033,19.1,"Creux unique, propre et arrondi, aucune autre structure dans le cycle complet -- la grille rapide avait pris le double de la vraie période (12.0066j), corrigé par la recherche fine. Rayon implicite 0.77 R_jup -- taille sans ambiguïté. Absente de la table TOI et d'aucune publication trouvée."
293480903,marginal,Non classée,7.569,27.6,"Creux unique, net et isolé en V, aucune autre structure dans le cycle complet -- la grille rapide avait pris 3/2 de la vraie période (11.3540j), corrigé par la recherche fine. Rayon implicite 0.80 R_jup -- taille sans ambiguïté. Absente de la table TOI et d'aucune publication trouvée."
281114303,reject,Structure double-creux,1.4829,,"Recherche affinée (1.3-2.0j) confirme un pic net à 1.4829j, mais le repliement à la vraie période montre deux creux distincts et rapprochés en phase par cycle (vers -0.10 et 0.0), pas un transit isolé -- contrairement à 16703161 et 293480903, ce n'était pas un simple alias de grille mais une vraie structure de binaire."
122883754,reject,Binaire,4.3199,19.3,"Profondeur ~4% avec modulation continue hors transit et ratio durée/période élevé (7.6%) -- signature de binaire à éclipses plutôt qu'un transit planétaire. Période confirmée par le script complet (4.3199j vs 4.3201j sur la grille), pas d'alias à corriger."
145338612,reject,Forme non-transit,2.4577,20.2,Forme asymétrique avec queue de creux prolongée et bosse au-dessus de la baseline -- même défaut structurel que TIC 142677613. Ratio durée/période élevé (8.1%) cohérent avec une binaire plutôt qu'un transit propre. Période confirmée (2.4577j vs 2.4579j sur la grille).
411685204,reject,Variable,11.0802,18.9,"Courbe chaotique sur 4 secteurs très espacés (2023-2026), multiples excursions et amplitude de flux énorme -- profil de variabilité stellaire continue plutôt qu'un transit isolé. Période confirmée (11.0802j vs 11.0813j sur la grille)."
12876844,reject,Creux multiples,7.1843,17.6,"Zone bruitée en bosse avec plusieurs creux imbriqués qui se chevauchent, pas un signal isolé et net -- même défaut que TIC 49003142. Période confirmée (7.1843j vs 7.1829j sur la grille)."
454141286,marginal,Non tranché,5.3417,8.8,"Transit net à phase 0, mais légère remontée de flux en bord de fenêtre (~phase 0.45-0.5) qui pourrait évoquer une éclipse secondaire sans être assez nette pour trancher formellement. N'a pas été confirmé par stellar_params.py. Ni écarté ni retenu."
259589049,marginal,Non tranché,4.9843,20.7,Dip à peine distinguable dans un bruit de fond important malgré un SNR correct (20.7). Signal trop faible et bruité pour conclure.
6895773,marginal,Non classée,7.3019,14.0,"Creux peu profond mais net, isolé et symétrique, rien d'autre dans le cycle complet. Rayon implicite 0.62 R_jup -- taille sans ambiguïté, le plus petit objet du lot 4. Absente de la table TOI et d'aucune publication trouvée."
260659986,marginal,Non classée,3.5702,20.2,"Recherche fine corrige la période (7.1394j de la grille était le double de la vraie période, harmoniques 1:2:3:4 très propres dans le périodogramme). Creux unique et net à la bonne période, ~0.9% de profondeur. Rayon implicite 1.83 R_jup -- zone ambiguë entre géante gazeuse et naine M compacte. Absente de la table TOI et d'aucune publication trouvée."
159892657,reject,Binaire (ellipsoïdale),4.0749,13.7,"Recherche affinée (grille avait pris 10.1879j, soit 5/2 de la vraie période) révèle un transit net et profond à 4.0749j, mais avec une modulation de flux en bosse symétrique entre les éclipses (~phase -0.35 à -0.15 et 0.15 à 0.4) -- signature de variation ellipsoïdale d'une binaire serrée déformée par la marée, même profil que TIC 385231167, TIC 116417661 et TIC 61113635 déjà classés ainsi."
295599256,reject,Faux positif (TESS) (TOI-1108.01),,46.6,"Secteur 100. Statut officiel TOI : FP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
32487566,confirm,Planète connue (TOI-2386.01),2.7567,11.1,"Secteur 107. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
61538902,confirm,Planète connue (TOI-752.01),,81.3,"Secteur 63. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
437248515,confirm,Planète connue (TOI-683.01),,74.4,"Secteur 63. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
219698950,confirm,Planète connue (TOI-766.01),,102.5,"Secteur 63. Statut officiel TOI : KP. Classé automatiquement, à vérifier visuellement avant publication sur le site."
